aceite,oil
aceites,oils
alcohol,alcohol
algo más,anything else
asada,roast
asado,roast
buen provecho,Bon Appetite
cenan,have dinner
cenaron,they dined
cenas,dinners
cenó,frown
champanes,champagnes
champán,champagne
chef,Chef
cocinar,cook
cocinaste,you cooked
desayunamos,we had breakfast
desayunan,have breakfast
desayuno,breakfast
desayunó,breakfast
especial del día,day's special
estupenda,great
estupendas,great
estupendo,great
estupendos,great
excelente,Excellent
excelentes,excellent
extra,extra
extras,Additional features
hielo,ice
llenas,full
me puede traer,Can you bring me
panes,breads
pedimos,we ask
pedir,ask for
pide,requests
piden,they ask
probaron,they tried
saludable,healthy
saludables,healthy
servimos,we serve
servir,to serve
sirve,it serves
sirves,you serve
sirvo,I serve
traemos,we bring
vegetariana,vegetarian
vegetariano,vegetarian
vegetarianos,vegetarians
