acostar+prpers,lay down+prpers
acostarme,lie down
acostarse,lie down
acostarte,lie down
ajedrez,Chess
allí,over there
cansadísimo,very tired
cuando,when
de vez en cuando,once in a while
dificilísimo,very difficult
encantaron,they loved
encantó,charm
fantástica,fantastic
fantásticas,fantastic
fantástico,fantastic
fantásticos,fantastic
frecuentemente,frequently
generalmente,usually
gimnasios,gyms
golf,Golf
grandísimo,great
gustaron,they liked
me acuesto,I lay
morada,dwelling
morado,purple
nos acostamos,we go to bed
odia,hates
odiar,hate
odiaron,they hated
odiaste,you hated
odio,hatred
preferimos,we prefer
preferir,to prefer
prefieren,prefer
se acuesta,lies down
se acuestan,they lie down
te acuestas,you lie down
tomar,drink
un poco,a little
