adónde,where to
aviones,planes
avión,plane
boletos,tickets
carros,cars
cuarto,quarter
cámara,camera
cámaras,cameras
estar,to be
llega,arrives
llegamos,we arrived
llegan,arrive
llegar,arrive
llegas,you arrive
llego,arrived
maletas,suitcases
menos,less
minuto,minute
minutos,minutes
pasaportes,passports
por,for
pronto,early
próxima,next
próximas,forthcoming
próximo,next
taxis,taxi
treinta,thirty
va a,will
vamos a,we are going to
van a,going to
vas
                    a,you&#39;ll
veintinueve,twenty nine
veintiocho,twenty eight
veintisiete,twenty seven
veintiséis,twenty six
voy a,I will
