agricultor,farmer
agricultores,farmers
conejo,rabbit
conejos,rabbits
dinosaurio,dinosaur
dinosaurios,dinosaurs
el ajedrez,the chess
el baloncesto,basketball
el ciclismo,cycling
el español,the Spanish
el fútbol,football
el inglés,English
elefante,elephant
elefantes,elephants
fuerte,strong
fuertes,powerful
gramática,grammar
las frutas,the fruits
los deportes,sports
los gatos,the cats
los lunes,on Monday
los maestros,teachers
los médicos,the doctors
los padres,parents
los
                    perros,dogs
oso,bear
peligroso,dangerous
pesadas,heavy
pesados,heavy
rápido,Quick
útil,Useful
útiles,tools
