anterior,former
celebridad,celebrity
entrevistar,to interview
episodio,episode
espectador,viewer
estreno,premiere
exhibición,exhibition
presentador,presenter
retrato,portrait
subtítulo,caption
concentrarse,concentrate
correctamente,correctly
desaprobar,disapprove
duro,Lasted
experimento,experiment
fuerte,strong
laboratorios,laboratories
lento,slow
promedios,averages
totalmente,completely
algunos de,some of
arma,weapon
atacar,attack
bombas,bombs
delincuente,offender
explotar,blow
la mitad de,half of
terrorista,terrorist
un tercio de,a third of
uno de,one of
cubierto,covered
mariscos,seafood
poder,can
puede ser,could be
querer,want
sabor,taste
servilleta,napkin
sería posible,it would be possible
tocino,bacon
traería,bring
aro,ring
chaleco,vest
colorido,colorful
combinar,combine
lino,linen
quedar,stay
raya,stripe
saco,coat
suelto,loose
zapatilla,shoe
avena,oatmeal
calentar,to warm
cocinemos,let's cook
despierte,wake up
huevos revueltos,scrambled eggs
lasaña,lasagna
merendar,to snack
quiera,want
recordar a,will remember
recuerde,remember
aceptable,acceptable
atender,attend
gasto,spent
lógicas,logical
manchado,stained
plazo,term
promoción,promotion
quejarse,to complain
salir,go out
vencido,defeated
atención,attention
buscar,seek
explicar,explain
llamar,to call
llegar,arrive
negocio,deal
ni siquiera,not even
pagar,to pay
queja,complaint
supervisor,supervisor
algún día,someday
cara a cara,face to face
cuanto antes,sooner
decir,say
dudar,dude
dudar que,doubt that
hablar,to talk
perdonar,forgive
sensato,sensible
arroyo,stream
atracción,attraction
bahía,bay
ballena,whale
cultivo,crop
delfín,Dolphin
desastre,disaster
esencial,essential
marino,Marine
ola,wave
bucear,Diving
debe haber,there must be
debe haber sido,must have been
desafío,challenge
dolido,hurt
doloroso,painful
justos,fair
rodilla,knee
sucedido,happened
victoria,victory
echar,throw
entrenador,coach
escúchalo,listen to it
grites,scream
lancen,throw
pegar,paste
penal,penal
portero,goalie
pásame,pass me
tírame,throw me
dar las gracias,give the thanks
de nada,you are welcome
gracias a,thanks to
gracias por,thank you for
gusto,taste
mil gracias,thank you
muchas gracias,Thanks a lot
no hay de qué,you `re welcome
no hay
                    problema,No problem
ramo,bouquet
comenzado,started
considerar,to consider
construcción,building
dificultad,difficulty
en
                    total,total
financiero,financial
industrias,industries
producir,produce
reunido,gathered
trimestre,trimester
dentro de,within
embarazado,pregnant
estricto,strict
fallecer,die
internar,intern
morir,To die
nacer,be born
pechos,breasts
pesar,weigh
urgentemente,urgently
afeitador,shaver
afeitarse,shave
cambiar,change
corporal,bodily
desodorante,deodorant
loción,lotion
peluquero,hairdresser
protector solar,sunscreen
rizado,curly
secador de
                    pelo,hair dryer
admitir,to admit
alcaldesas,female mayors
discutir,argue
económico,economic
exactamente,exactly
intercambiar,to exchange
ministras,ministers
podría ser,could be
punto,point
yo diría,I would say
bajémonos,let's get off
doblemos,let's fold
embotellamiento,traffic jam
hora pico,rush hour
motos,motorcycles
parada,stop
por,for
rotonda,roundabout
vámonos,Let's go
pasttense81,pasttense81
pasttense82,pasttense82
pasttense83,pasttense83
pasttense,pasttense
cariñoso,affectionate
celoso,jealous
es posible que,It is possible that
furioso,furious
hacer una
                    broma,make a joke
nada más,nothing more
poner,place
tomar,drink
tomar con
                    calma,take it easy
pronouns21,pronouns21
pronouns22,pronouns22
pronouns23,pronouns23
pronouns,pronouns
colonia,Suburb
cosmético,cosmetic
formal,formal
mostrar,to show
perla,pearl
regalártelo,give it to you
salón de belleza,beauty salon
sofisticado,sophisticated
tacón,heel
unos cuantos,some
a dónde,where
carta de presentación,presentation letter
desde cuándo,since when
hasta dónde,until where
ingeniería,engineering
multinacional,multinational
periodista,journalist
por dónde,where
renunciar,resign
secretario,secretary
apenas,barely
bombilla,lightbulb
enseguida,right away
garantía,warranty
prender,turn on
reparación,repair
se,I know
se paga,it is paid
se puede,It can
similares,Similar
ciudad natal,native city
cumplir,comply
extranjero,Foreign
mayor,higher
menor,minor
pariente,relative
sexto,sixth
un poco,a little
valer la pena,worth
visitado,visited
subj31,subj31
subj32,subj32
subj33,subj33
subj,subj
subj41,subj41
subj42,subj42
subj43,subj43
amanecer,dawn
aterrizar,to land
bañarse,bath
casi nunca,rarely
despegar,take off
dormirse,fall sleep
embarcar,embark
escala,scale
leyenda,legend
viajero,traveler
apurarse,hurry
bombero,fireman
cargar gasolina,refuel
disminuir,diminish
humos,fumes
parabrisas,windshield
socorro,Help
tardar,delay
velocidades,speeds
