abrazo,hug
acepta,you accept
aceptar,to accept
aceptaste,you accepted
acepto,I agree
aceptó,I agree
alegre,cheerful
alegres,happy
beso,kiss
bodas,wedding
caracteres,characters
carácter,character
carácteres,characters
celebramos,we celebrated
discoteca,discotheque
divorcio,divorce
en el,in it
encantada,Haunted
encantadas,enchanted
encantados,delighted
estado civil,marital status
ex,ex
excusa,excuse
excusas,excuses
hubo,was
humor,humor
me puse,i put on
pareja,couple
parejas,couples
paseo,ride
ponerse,to put on
regalar,give a present
regaló,present
relación,relationship
romance,Romance
se puso,put on
sueño,sleep
te pusiste,you put on
